date,max_temp,min_temp
2026-06-22,,
2026-06-23,,
2026-06-24,,
2026-06-25,,
2026-06-26,,
2026-06-27,,
2026-06-28,,
2026-06-29,,
2026-06-30,,
2026-07-01,,
2026-07-02,,
2026-07-03,,
2026-07-04,,
2026-07-05,,
2026-07-06,,
2026-07-07,,
2026-07-08,27.9,26.4
2026-07-09,32.9,22.2
2026-07-10,33.9,21.7
2026-07-11,35.4,23.1
2026-07-12,35.1,22.9
2026-07-13,34.8,24.0
2026-07-14,34.3,21.4
2026-07-15,31.8,24.0
2026-07-16,33.5,21.6
2026-07-17,26.2,19.1
2026-07-18,28.9,17.6
2026-07-19,23.6,14.1
2026-07-20,23.3,12.8
2026-07-21,25.7,13.5
2026-07-22,25.8,14.8
2026-07-23,25.1,15.8
2026-07-24,28.5,16.5
2026-07-25,29.6,18.1
2026-07-26,25.9,16.5
2026-07-27,27.0,16.2
2026-07-28,32.0,18.0
2026-07-29,38.1,20.5
2026-07-30,30.0,21.1
2026-07-31,29.1,19.4
2026-08-01,28.6,18.1
2026-08-02,32.4,17.3
2026-08-03,35.7,22.4
2026-08-04,32.4,23.4
2026-08-05,28.3,20.2
2026-08-06,25.9,17.9
2026-08-07,26.8,14.6
2026-08-08,31.2,16.4
2026-08-09,33.1,20.8
2026-08-10,32.2,20.6
2026-08-11,32.9,18.9
2026-08-12,35.4,20.8
2026-08-13,37.5,22.6
2026-08-14,38.8,23.3
2026-08-15,31.1,23.9
2026-08-16,31.0,20.9
2026-08-17,29.4,22.1
2026-08-18,27.4,19.8
2026-08-19,29.6,18.7
2026-08-20,25.5,15.9
2026-08-21,23.3,16.7
2026-08-22,23.4,13.9
2026-08-23,24.1,14.3
2026-08-24,26.8,16.3
2026-08-25,28.5,16.8
2026-08-26,29.2,19.8
2026-08-27,27.0,19.0
2026-08-28,23.3,17.2
2026-08-29,21.9,17.0
2026-08-30,24.7,17.0
2026-08-31,23.0,17.5
2026-09-01,24.5,15.2
2026-09-02,25.6,15.3
2026-09-03,27.6,18.2
2026-09-04,28.5,19.5
2026-09-05,24.8,16.9
2026-09-06,28.1,15.5
2026-09-07,28.9,20.5
2026-09-08,26.2,15.2
2026-09-09,21.2,13.2
2026-09-10,21.2,11.5
2026-09-11,25.4,14.9
2026-09-12,25.7,15.2
2026-09-13,27.1,17.5
2026-09-14,28.9,18.2
2026-09-15,32.8,17.9
2026-09-16,22.0,14.8
2026-09-17,21.9,13.8
2026-09-18,21.8,13.0
2026-09-19,25.0,14.0
2026-09-20,23.3,15.8
